text,intent,split
please start counting down from 10 minutes,timer,train
let's get a timer going for 10 minutes,timer,train
i need a timer for 20 seconds,timer,train
timer 5 minutes,timer,train
alert me in 20 minutes,timer,train
give me a 10 minute countdown,timer,train
let me know in 15 minutes please,timer,train
"i'm cooking an egg, timer for 3 mins",timer,train
10 minute timer,timer,train
start a timer for 10 minutes,timer,train
timer 10 minutes,timer,train
count down 10 minutes,timer,train
make up a timer for me,timer,train
create a timer for me,timer,train
can you set a timer for me,timer,train
i need to set a timer,timer,train
set up a timer,timer,train
could you start a timer for me,timer,train
lets set a timer for me,timer,train
please run a timer for me,timer,train
set a one minute timer,timer,train
set a five minute timer,timer,train
set a seven minute timer,timer,train
start a timer for me,timer,train
set a four minute timer,timer,train
set a six minute timer,timer,train
how do i set a timer,timer,train
i want a timer for 5 minutes,timer,train
timer for 5 minutes,timer,train
set a timer to go off in 5 minutes,timer,train
set timer for 5 minutes,timer,train
i want to set a timer,timer,train
make a timer for 5 minutes,timer,train
please set a timer for,timer,train
remind me that time is up in sixty minutes,timer,train
set an alarm for nine minutes from now,timer,train
tell me when ninety minutes have passed,timer,train
please set timer for 4 pm,timer,train
want 5 minute timer,timer,train
set 30 minute timer,timer,train
get a 3 minute timer,timer,train
"please, can you set the timer for me",timer,train
can you please the timer,timer,train
will you set the timer,timer,train
what is the meaning of realism,definition,train
what is regard mean,definition,train
what is the meaning of interorganizational,definition,train
what is it is all relative mean,definition,train
what is intercontinental mean,definition,train
what is the meaning of supercede,definition,train
what is let it be mean,definition,train
what is the definition of incomprehensible,definition,train
what is the meaning of stupendous,definition,train
what is the definition of intelligent,definition,train
what is good riddance mean,definition,train
what is break a leg mean,definition,train
what is the meaning of hyperactive,definition,train
what is the definition of valor,definition,train
what is stupedous meant,definition,train
find the meaning of qat,definition,train
what the heck is qat,definition,train
define qat for me,definition,train
read me a definition for qat,definition,train
look up qat please,definition,train
what might the meaning of altruism be,definition,train
exactly what does altruism mean,definition,train
what does altruism mean,definition,train
what is the definition of altruism,definition,train
what is the meaning of altruism,definition,train
affiliate's definition is what,definition,train
the definition of affiliate is,definition,train
what's the meaning of affiliate,definition,train
what's affiliate definition,definition,train
definition of affiliate is what,definition,train
whats the definition of poor,definition,train
"describe the meaning of ""dog",definition,train
"what does ""money"" mean",definition,train
tell me what the word die means,definition,train
what is the definition of succumb,definition,train
what is the meaning of telepathy,definition,train
what does tertiary mean,definition,train
tell me the definition of the word redemption,definition,train
what is the meaning of the word lux,definition,train
what is an ataraxy,definition,train
what does the word ataraxy mean,definition,train
what does ataraxy mean,definition,train
use the word ataraxy in a sentence,definition,train
define ataraxy,definition,train
what does discretionary mean,definition,train
define discretionary,definition,train
i want to know the definition of discretionary,definition,train
can you give the definition of deiscretionary,definition,train
let's hear the definition of iridium,definition,train
what's the definition of analogy,definition,train
can you tell me the definition of sucrose,definition,train
definition of anachronism,definition,train
what's the definition of patriarchy,definition,train
can you tell me the definition of yttrbium,definition,train
please share the definition of episcopalian,definition,train
what does saffron mean,definition,train
define sonogram,definition,train
define thoroughbred,definition,train
what's the meaning of a fortnight,definition,train
what is an anachronism,definition,train
what's the meaning of emulsify,definition,train
tell me what cyst means,definition,train
what is the definition of flange,definition,train
tell me what flange means,definition,train
define flange,definition,train
flange means what,definition,train
what is the meaning of flange,definition,train
"what does ""rescind"" mean",definition,train
"what is the meaning of word ""rescind",definition,train
"is ""rescind"" a word of positive connotation",definition,train
"where i can use word ""rescind",definition,train
read me the definition of ajar,definition,train
what does ajar mean,definition,train
can you show me the dictionary definition of ajar,definition,train
tell me what monstrosity means,definition,train
give me the definition of ajar,definition,train
what is the definition of didactic,definition,train
i need to know what adumbrate means can you look it up for me now,definition,train
i want to know what the word discomfit means,definition,train
find what the word diaphanous mean please,definition,train
do you know what calumny means  please look it up for me,definition,train
find out what the word abrogate means for me,definition,train
tell me what edict means,definition,train
what does the word abjure mean,definition,train
can you tell me what dirge means,definition,train
tell me what the word arboreal means,definition,train
whats the definition of transmute,definition,train
what is the meaning of the word slander,definition,train
what is meant by defense,definition,train
tell me what the word bounty means,definition,train
what does deceive mean,definition,train
define zesty,definition,train
look up zesty in dictionary,definition,train
definition of zesty,definition,train
what is the definition of zesty,definition,train
what does zesty mean,definition,train
tell me what alternative means,definition,train
what does alternative mean,definition,train
give me the meaning of alternative,definition,train
tell me the meaning of alternative,definition,train
does life have meaning,meaning_of_life,train
is being alive the meaning of life,meaning_of_life,train
what is the real meaning of life,meaning_of_life,train
what is the answer to the meaning of life,meaning_of_life,train
is there really an answer to the meaning of life,meaning_of_life,train
does life have a meaning,meaning_of_life,train
who can tell me if there's any meaning to life,meaning_of_life,train
what makes life have any meaning,meaning_of_life,train
why do you think we're here,meaning_of_life,train
what's the answer to existence,meaning_of_life,train
what's the point of sentience,meaning_of_life,train
what's the purpose of existence,meaning_of_life,train
what's the purpose of life,meaning_of_life,train
what's the point of this dumpster fire known as life,meaning_of_life,train
what is life's meaning,meaning_of_life,train
is there a greater purpose in life,meaning_of_life,train
what is our purpose in life,meaning_of_life,train
how is life in existence,meaning_of_life,train
what's lifes meaning,meaning_of_life,train
what exactly is the meaning of life,meaning_of_life,train
whats lifes meaning exactly,meaning_of_life,train
what's the meaning of this life,meaning_of_life,train
what is the meaning of life here,meaning_of_life,train
does my life have meaning,meaning_of_life,train
i wish to know the meaning of life,meaning_of_life,train
i wanna know the meaning of life,meaning_of_life,train
i wanna know the point of life,meaning_of_life,train
i need to know the point of life,meaning_of_life,train
i must know the point of life,meaning_of_life,train
tell the meaning of life,meaning_of_life,train
i gotta know the meaning of life,meaning_of_life,train
what is your take on the meaning of life,meaning_of_life,train
tell me what is the purpose of life,meaning_of_life,train
what meaning does life hold,meaning_of_life,train
what do you think is the meaning of like,meaning_of_life,train
how do i find the meaning of life,meaning_of_life,train
what is the purpose of exsistance,meaning_of_life,train
what is your version on the meaning of life,meaning_of_life,train
what is your explanation for the meaning of life,meaning_of_life,train
what is the purpose of creation,meaning_of_life,train
can you figure out the meaning of life,meaning_of_life,train
whats your take on the meaning of life,meaning_of_life,train
can you explain the meaning of life to me,meaning_of_life,train
what is life all about,meaning_of_life,train
can you explain the meaning of life,meaning_of_life,train
"what's the point of life, anyways",meaning_of_life,train
the meaning of life please,meaning_of_life,train
the meaning of life,meaning_of_life,train
i'd like to me told the meaning of life,meaning_of_life,train
do you know the meaning of life,meaning_of_life,train
say what the meaning of life is,meaning_of_life,train
can you tell me life's meaning,meaning_of_life,train
what's the meaning of my life,meaning_of_life,train
what is the underlying purpose to life,meaning_of_life,train
what do you think about the meaning of life,meaning_of_life,train
what is life’s meaning,meaning_of_life,train
help me figure out the meaning of life,meaning_of_life,train
"would you tell me the meaning of life, please",meaning_of_life,train
"could you tell me the meaning of life, please",meaning_of_life,train
can you tell me the meaning of life,meaning_of_life,train
could you tell me the meaning of life,meaning_of_life,train
"can you tell me the meaning of life, please",meaning_of_life,train
what does life mean to you,meaning_of_life,train
is there really a meaning of life,meaning_of_life,train
is there any meaning to being alive,meaning_of_life,train
what is the meaning of my life,meaning_of_life,train
what is the point of life,meaning_of_life,train
what's the point of everything,meaning_of_life,train
is there a meaning to life,meaning_of_life,train
why are we here in life,meaning_of_life,train
can you share the meaning of life,meaning_of_life,train
research the meaning of life,meaning_of_life,train
can you tell me what you think the meaning of life is,meaning_of_life,train
what is our purpose here on earth,meaning_of_life,train
is love the meaning of life,meaning_of_life,train
is there a reason people exist,meaning_of_life,train
what is the secret or meaning to life,meaning_of_life,train
what does life mean on a deeper level,meaning_of_life,train
how would you put what life is all about,meaning_of_life,train
how would you describe what life means,meaning_of_life,train
what do people say life means or the meaning is,meaning_of_life,train
life has what meaning or what's the secret to it,meaning_of_life,train
where is there meaning in life,meaning_of_life,train
what is the meaning of this life,meaning_of_life,train
do you know what the meaning of life is,meaning_of_life,train
what's life's meaning,meaning_of_life,train
"does life have a meaning, according to you",meaning_of_life,train
does this life have a meaning,meaning_of_life,train
can you share with me your interpretation of the meaning of life,meaning_of_life,train
what do you think is the meaning of life,meaning_of_life,train
is there a meaning in life,meaning_of_life,train
i wonder if you can explain the meaning of life,meaning_of_life,train
"i always wonder about the meaning of life, can you tell me",meaning_of_life,train
what's my meaning in life,meaning_of_life,train
define the meaning of life,meaning_of_life,train
meaning of life is,meaning_of_life,train
what is your perception of the meaning of life,meaning_of_life,train
whats the meaning of life,meaning_of_life,train
what do you think the meaning of life is,meaning_of_life,train
what is behind life's meaning,meaning_of_life,train
how to create a new aaa insurance plan,insurance_change,train
website to start aaa new insurance plan,insurance_change,train
aaa insurance start new plan,insurance_change,train
i want to start a new aaa insurance plan,insurance_change,train
is new this a good insurance plan for me,insurance_change,train
what do i do to get new insurance,insurance_change,train
new insurance is obtainable how,insurance_change,train
how is new insurance gotten,insurance_change,train
what do i do for new insurance,insurance_change,train
"how do i get new insurance, please",insurance_change,train
how can i obtain new insurance,insurance_change,train
"how can i obtain new insurance, please",insurance_change,train
"how can i get new insurance, please",insurance_change,train
how do i make my insurance policy different,insurance_change,train
how do i change my insurance policy,insurance_change,train
how do i modify my insurance policy,insurance_change,train
how do i alter my insurance policy,insurance_change,train
how do i get different terms on my insurance policy,insurance_change,train
help me change my insurance plan,insurance_change,train
i would like a new insurance plan,insurance_change,train
connect me with some new insurance,insurance_change,train
i need a newer insurance plan,insurance_change,train
my insurance plan needs to be changed,insurance_change,train
what rental insurance policy do you recommend,insurance_change,train
help me find a new auto insurance policy,insurance_change,train
find the best life insurance for me,insurance_change,train
i need new home owners insurance,insurance_change,train
i need new health care coverage,insurance_change,train
how do i change my current insurance to a new plan with lower co-pay,insurance_change,train
what steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan,insurance_change,train
i need to change my insurance to a plan with a lower deductible,insurance_change,train
how do i go about changing my insurance to a new low monthly premium plan,insurance_change,train
i would like to change my insurance from a ppo to an hmo plan,insurance_change,train
help me figure out getting new insurance,insurance_change,train
i would like to get a new insurance plan,insurance_change,train
i want help adjusting my insurance policy,insurance_change,train
i am hoping to switch insurance plans,insurance_change,train
i need help acquiring new insurance,insurance_change,train
walk me through the process of getting new insurance,insurance_change,train
i am interested in acquiring new insurance,insurance_change,train
how can i acquire new insurance,insurance_change,train
what must i do if i want to adjust my insurance policy,insurance_change,train
what is the protocol for modifying my insurance policy,insurance_change,train
i dont like my current insurance plan and want a new one,insurance_change,train
walk me through making changes to my insurance policy,insurance_change,train
i need new insurance but dont know how to get it,insurance_change,train
i am thinking of switching to a different insurance plan,insurance_change,train
help me modify my insurance policy,insurance_change,train
could you help me out with a new renters' insurance plan,insurance_change,train
i'd like a new life insurance plan,insurance_change,train
can you help me with a new car insurance plan,insurance_change,train
i need to get a new motorcycle insurance plan,insurance_change,train
can i get a new pet insurance plan,insurance_change,train
where do i go to get new insurance,insurance_change,train
"i need new insurance, how do i get it",insurance_change,train
how do i apply for new insurance,insurance_change,train
i would like you to help me get on another united healthcare insurance plan,insurance_change,train
can you help me get on a new united healthcare insurance plan,insurance_change,train
i want to find a new united healthcare plan to get on,insurance_change,train
i'd like to get on a new united healthcare plan,insurance_change,train
i need to get on a new united healthcare insurance plan,insurance_change,train
help make changes to my insurance policy,insurance_change,train
i must switch to a new insurance plan,insurance_change,train
i need help to make changes to my insurance policy,insurance_change,train
i gotta switch to a new insurance plan,insurance_change,train
help me make changes to my insurance policy,insurance_change,train
i need to switch to a new insurance plan,insurance_change,train
i really need to switch to a new insurance plan,insurance_change,train
i would like to make changes to my insurance policy,insurance_change,train
i need to make changes to my insurance policy,insurance_change,train
i shall switch to a new insurance plan,insurance_change,train
how do i update my insurance,insurance_change,train
how can i get new insurance,insurance_change,train
how can i find out about new insurance,insurance_change,train
i need to find new insurance,insurance_change,train
"i need to get new insurance, how do i do it",insurance_change,train
can you switch me to a new insurance plan,insurance_change,train
i would like to switch to a different insurance plan,insurance_change,train
help me switch to a new insurance plan,insurance_change,train
switch my insurance plan to a new one,insurance_change,train
what are my options for new insurance plans,insurance_change,train
i want to shop for new insurance plans,insurance_change,train
i would like to switch my insurance plan,insurance_change,train
help me find new insurance providers,insurance_change,train
i would like to compare insurance plan options,insurance_change,train
i need a new house insurance plan,insurance_change,train
i want to get a new car insurance plan,insurance_change,train
i need new health insurance,insurance_change,train
i want a new policy with long-term care insurance,insurance_change,train
i want a new motorcycle insurance plan,insurance_change,train
how do i adjust my insurance policy,insurance_change,train
my insurance policy needs to be adjusted,insurance_change,train
i am in need of a switch to my insurance plan,insurance_change,train
walk me through on how to change my insurance,insurance_change,train
i wish to request a change in insurance plans,insurance_change,train
i would like to alter my insurance plan,insurance_change,train
i need to know how to change my insurance,insurance_change,train
i want to switch my insurance coverage,insurance_change,train
help me change my insurance,insurance_change,train
how do i replace my insurance,insurance_change,train
i need help finding my mobile phone,find_phone,train
help me figure out where my cell phone is,find_phone,train
give me a hand finding my mobile device,find_phone,train
i can't find my cell and need help locating it,find_phone,train
can you help me find my cell,find_phone,train
"help, i cannot find my phone",find_phone,train
i can't seem to find my phone,find_phone,train
are you able to track a phone,find_phone,train
my phone cannot be found,find_phone,train
i have misplaced my phone,find_phone,train
i don't know where i left my phone,find_phone,train
i left my phone somewhere,find_phone,train
i am looking for my phone,find_phone,train
i need you to find my phone,find_phone,train
please locate my phone,find_phone,train
can you help me find my lost phone,find_phone,train
i need help figuring out where my phone is,find_phone,train
please help me figure out where my lost phone is,find_phone,train
"please help me find my phone, because i lost it",find_phone,train
"i lost my phone, can you help me find it",find_phone,train
who has seen my cellphone,find_phone,train
have you seen my cellphone,find_phone,train
can you find my cellphone,find_phone,train
find my cellphone,find_phone,train
please help me find my phone,find_phone,train
where my phone,find_phone,train
where was the last place i had my phone,find_phone,train
can you find my iphone,find_phone,train
i can't find my phone,find_phone,train
"call my phone, i can't find it",find_phone,train
can you find my lost phone,find_phone,train
do you know where my phone is,find_phone,train
can you help me find my cellphone,find_phone,train
can you call my cellphone,find_phone,train
my phone is lost - can you help me find it,find_phone,train
where is my phone,find_phone,train
ai can you help me find my phone,find_phone,train
"ai, i lost my phone, help me find it please",find_phone,train
"ai, please help me find my phone",find_phone,train
ai locate my phone,find_phone,train
ai find my phone,find_phone,train
how can i find my phone,find_phone,train
"my phone is lost, can you help with that",find_phone,train
i need to locate my phone,find_phone,train
find out where my phone is,find_phone,train
help me find my phone,find_phone,train
locate my phone please,find_phone,train
what is the location of my phone,find_phone,train
my phone is currently lost,find_phone,train
i don't remember where my phone is,find_phone,train
locate my phone for me,find_phone,train
the location of my phone is unknown to me,find_phone,train
find my phone,find_phone,train
i need to find my phone,find_phone,train
please aid in my searching for my lost phone,find_phone,train
please help me locate my phone,find_phone,train
where did i last place my phone,find_phone,train
can you assist me in locating my phone,find_phone,train
is my phone in the house,find_phone,train
i lost my phone and need help retrieving it,find_phone,train
help me search for my phone,find_phone,train
misplaced my phone,find_phone,train
can you help locate my phone,find_phone,train
"i need my phone, but can't find it",find_phone,train
i lost my phone and need assistance,find_phone,train
i don't know where my phone is,find_phone,train
i can't find my phone do you know where it is,find_phone,train
please tell me where my phone is,find_phone,train
can you help me find my phone,find_phone,train
do you know where my phone is located now,find_phone,train
can you track the location of my phone,find_phone,train
where can i find my phone,find_phone,train
can you locate my phone,find_phone,train
do you know where i left my phone,find_phone,train
where is my phone now,find_phone,train
"alexa, tell me the location of my phone",find_phone,train
"siri, where is my iphone",find_phone,train
"siri, tell me where my iphone is",find_phone,train
"siri, find my iphone",find_phone,train
help me locate my phone,find_phone,train
you need to help me find my cellphone,find_phone,train
help me find my cellphone,find_phone,train
please help me find my cellphone,find_phone,train
where did i put my phone,find_phone,train
tell me where my phone is,find_phone,train
please find my phone,find_phone,train
locate my phone,find_phone,train
i would like some help finding my phone,find_phone,train
i need to know where my phone is,find_phone,train
i seemed to misplaced my phone,find_phone,train
i lost my phone,find_phone,train
i need some help finding my phone,find_phone,train
can you locate my phone for me,find_phone,train
i don't know where i put my phone,find_phone,train
help find my phone,find_phone,train
i would like to know where my phone is,find_phone,train
i'd like help finding my fon,find_phone,train
i can't locate my phone,find_phone,train
can you tell me where i left my phone,find_phone,train
can you please locate my phone,find_phone,train
does ireland have any travel alerts i should be aware of,travel_alert,train
does north korea have any travel alerts i should be aware of,travel_alert,train
are there any travel alerts for russia,travel_alert,train
does spain have any travel alerts i should be aware of,travel_alert,train
are there any travel alerts for north korea,travel_alert,train
does macedonia have any travel alerts i should be aware of,travel_alert,train
are there any travel alerts for syria,travel_alert,train
are there any travel alerts for ukraine,travel_alert,train
does myanmar have any travel alerts i should be aware of,travel_alert,train
are there any travel alerts for china,travel_alert,train
is there a travel alert for russia,travel_alert,train
is there a travel alert for scotland,travel_alert,train
does russia have any travel alerts i should be aware of,travel_alert,train
is it safe to travel to iceland,travel_alert,train
is it safe to travel to russia,travel_alert,train
does italy have any travel alerts i should be aware of,travel_alert,train
does germany have any travel alerts i should be aware of,travel_alert,train
is there a travel alert for north korea,travel_alert,train
does china have any travel alerts i should be aware of,travel_alert,train
is there a travel alert for canada,travel_alert,train
is it safe to travel to norway,travel_alert,train
is it safe to travel to bermuda,travel_alert,train
is it safe to travel to argentina,travel_alert,train
does finland have any travel alerts i should be aware of,travel_alert,train
is there a travel alert for spain,travel_alert,train
have there been any travel alerts issued for france,travel_alert,train
tell me about any travel alerts issued for germany,travel_alert,train
are there any travel warnings for london,travel_alert,train
should i know about any travel alerts before traveling in the usa,travel_alert,train
are there any new travel warnings for the us,travel_alert,train
any travel advisories for portugal,travel_alert,train
can you tell me if germany issued any travel warnings,travel_alert,train
does france have any current travel alerts,travel_alert,train
does spain expect any travel alerts,travel_alert,train
i am going to australia and want to be notified of any travel alerts,travel_alert,train
"i am going to be traveling in turkey, are there any alerts",travel_alert,train
are there any alerts for traveling in belize,travel_alert,train
what alerts are listed for traveling to paris,travel_alert,train
i need to know about travel alerts for mexico,travel_alert,train
what travel alerts are there in china,travel_alert,train
are there any alerts for travelling to beirut,travel_alert,train
argentina travel alert yes or no,travel_alert,train
does argentina have a travel alert,travel_alert,train
is there a travel alert in argentina,travel_alert,train
list of countries with travel alerts,travel_alert,train
